cik_str,ticker,title,cik10D
789019,MSFT,MICROSOFT CORP,0000789019
320193,AAPL,Apple Inc.,0000320193
1045810,NVDA,NVIDIA CORP,0001045810
1652044,GOOGL,Alphabet Inc.,0001652044
1018724,AMZN,AMAZON COM INC,0001018724
1326801,META,"Meta Platforms, Inc.",0001326801
1067983,BRK-B,BERKSHIRE HATHAWAY INC,0001067983
59478,LLY,ELI LILLY & Co,0000059478
1046179,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,0001046179
1730168,AVGO,Broadcom Inc.,0001730168
1318605,TSLA,"Tesla, Inc.",0001318605
353278,NVO,NOVO NORDISK A S,0000353278
1403161,V,VISA INC.,0001403161
19617,JPM,JPMORGAN CHASE & CO,0000019617
104169,WMT,Walmart Inc.,0000104169
34088,XOM,EXXON MOBIL CORP,0000034088
884394,SPY,SPDR S&P 500 ETF TRUST,0000884394
731766,UNH,UNITEDHEALTH GROUP INC,0000731766
1141391,MA,Mastercard Inc,0001141391
80424,PG,PROCTER & GAMBLE Co,0000080424
937966,ASML,ASML HOLDING NV,0000937966
200406,JNJ,JOHNSON & JOHNSON,0000200406
1047716,LTMAY,LATAM AIRLINES GROUP S.A.,0001047716
354950,HD,"HOME DEPOT, INC.",0000354950
310158,MRK,"Merck & Co., Inc.",0000310158
909832,COST,COSTCO WHOLESALE CORP /NEW,0000909832
1341439,ORCL,ORACLE CORP,0001341439
1094517,TM,TOYOTA MOTOR CORP/,0001094517
93410,CVX,CHEVRON CORP,0000093410
70858,BAC,BANK OF AMERICA CORP /DE/,0000070858
1551152,ABBV,AbbVie Inc.,0001551152
21344,KO,COCA COLA CO,0000021344
1108524,CRM,"Salesforce, Inc.",0001108524
2488,AMD,ADVANCED MICRO DEVICES INC,0000002488
77476,PEP,PEPSICO INC,0000077476
1065280,NFLX,NETFLIX INC,0001065280
901832,AZN,ASTRAZENECA PLC,0000901832
1306965,SHEL,Shell plc,0001306965
97745,TMO,THERMO FISHER SCIENTIFIC INC.,0000097745
1000184,SAP,SAP SE,0001000184
1707925,LIN,LINDE PLC,0001707925
1061736,FMX,MEXICAN ECONOMIC DEVELOPMENT INC,0001061736
72971,WFC,WELLS FARGO & COMPANY/MN,0000072971
796343,ADBE,ADOBE INC.,0000796343
1744489,DIS,Walt Disney Co,0001744489
1114448,NVS,NOVARTIS AG,0001114448
63908,MCD,MCDONALDS CORP,0000063908
1283699,TMUS,"T-Mobile US, Inc.",0001283699
858877,CSCO,"CISCO SYSTEMS, INC.",0000858877
1467373,ACN,Accenture plc,0001467373
804328,QCOM,QUALCOMM INC/DE,0000804328
1800,ABT,ABBOTT LABORATORIES,0000001800
313616,DHR,DANAHER CORP /DE/,0000313616
1577552,BABA,Alibaba Group Holding Ltd,0001577552
40545,GE,GENERAL ELECTRIC CO,0000040545
896878,INTU,INTUIT INC.,0000896878
1737806,PDD,PDD Holdings Inc.,0001737806
4962,AXP,AMERICAN EXPRESS CO,0000004962
879764,TTE,TotalEnergies SE,0000879764
1067839,QQQ,"INVESCO QQQ TRUST, SERIES 1",0001067839
18230,CAT,CATERPILLAR INC,0000018230
6951,AMAT,APPLIED MATERIALS INC /DE,0000006951
732712,VZ,VERIZON COMMUNICATIONS INC,0000732712
1089113,HSBC,HSBC HOLDINGS PLC,0001089113
97476,TXN,TEXAS INSTRUMENTS INC,0000097476
51143,IBM,INTERNATIONAL BUSINESS MACHINES CORP,0000051143
1166691,CMCSA,COMCAST CORP,0001166691
1163165,COP,CONOCOPHILLIPS,0001163165
1413329,PM,Philip Morris International Inc.,0001413329
895421,MS,MORGAN STANLEY,0000895421
318154,AMGN,AMGEN INC,0000318154
1144967,HDB,HDFC BANK LTD,0001144967
78003,PFE,PFIZER INC,0000078003
100885,UNP,UNION PACIFIC CORP,0000100885
1393818,BX,Blackstone Inc.,0001393818
1373715,NOW,"ServiceNow, Inc.",0001373715
811809,BHP,BHP Group Ltd,0000811809
320187,NKE,"NIKE, Inc.",0000320187
887028,RTNTF,RIO TINTO LTD,0000887028
1543151,UBER,"Uber Technologies, Inc",0001543151
886982,GS,GOLDMAN SACHS GROUP INC,0000886982
753308,NEE,NEXTERA ENERGY INC,0000753308
1000275,RY,ROYAL BANK OF CANADA,0001000275
101829,RTX,RTX Corp,0000101829
316709,SCHW,SCHWAB CHARLES CORP,0000316709
1035267,ISRG,INTUITIVE SURGICAL INC,0001035267
1378580,EADSY,Airbus SE/ADR,0001378580
60667,LOW,LOWES COMPANIES INC,0000060667
50863,INTC,INTEL CORP,0000050863
217410,UL,UNILEVER PLC,0000217410
64040,SPGI,S&P Global Inc.,0000064040
310764,SYK,STRYKER CORP,0000310764
1551182,ETN,Eaton Corp plc,0001551182
723125,MU,MICRON TECHNOLOGY INC,0000723125
1090727,UPS,UNITED PARCEL SERVICE INC,0001090727
773840,HON,HONEYWELL INTERNATIONAL INC,0000773840
1156039,ELV,"Elevance Health, Inc.",0001156039
1121404,SNY,Sanofi,0001121404
80661,PGR,PROGRESSIVE CORP/OH/,0000080661
732717,T,AT&T INC.,0000732717
1075531,BKNG,Booking Holdings Inc.,0001075531
707549,LRCX,LAM RESEARCH CORP,0000707549
1668717,BUD,Anheuser-Busch InBev SA/NV,0001668717
831001,C,CITIGROUP INC,0000831001
67088,MUFG,MITSUBISHI UFJ FINANCIAL GROUP INC,0000067088
1364742,BLK,BlackRock Inc.,0001364742
936468,LMT,LOCKHEED MARTIN CORP,0000936468
863064,RIO,RIO TINTO PLC,0000863064
1119639,PBR,PETROBRAS - PETROLEO BRASILEIRO SA,0001119639
313807,BP,BP PLC,0000313807
315189,DE,DEERE & CO,0000315189
109198,TJX,TJX COMPANIES INC /DE/,0000109198
1613103,MDT,Medtronic plc,0001613103
885725,BSX,BOSTON SCIENTIFIC CORP,0000885725
947263,TD,TORONTO DOMINION BANK,0000947263
1973239,ARM,ARM HOLDINGS PLC /UK,0001973239
12927,BA,BOEING CO,0000012927
1161167,AIQUY,L AIR LIQUIDE SA /FI,0001161167
1443276,TOELY,Tokyo Electron LTD,0001443276
875320,VRTX,VERTEX PHARMACEUTICALS INC / MA,0000875320
1739940,CI,Cigna Group,0001739940
1559720,ABNB,"Airbnb, Inc.",0001559720
896159,CB,Chubb Ltd,0000896159
313838,SONY,Sony Group Corp,0000313838
829224,SBUX,STARBUCKS CORP,0000829224
6281,ADI,ANALOG DEVICES INC,0000006281
8670,ADP,AUTOMATIC DATA PROCESSING INC,0000008670
62709,MMC,"MARSH & MCLENNAN COMPANIES, INC.",0000062709
872589,REGN,"REGENERON PHARMACEUTICALS, INC.",0000872589
1103838,IBN,ICICI BANK LTD,0001103838
1103982,MDLZ,"Mondelez International, Inc.",0001103982
